question,contexts,answer,ground_truth
Bị cả hai bệnh thì cơm trắng hay gạo lứt tốt hơn?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cả hai bệnh thì cơm trắng hay gạo lứt tốt hơn?\n💡 Chuyên gia tư vấn: Gạo lứt tốt hơn rõ rệt bởi vì gạo lứt giữ được lớp vỏ lụa giàu chất xơ (3.4g chất xơ/100g) và vitamin nhóm B, giúp kéo dài thời gian hấp thu glucose, hạ cholesterol và bảo vệ thành mạch máu tốt hơn.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Gạo lứt tốt hơn cơm trắng với 3.4g chất xơ/100g.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Gạo lứt tốt hơn rõ rệt bởi vì gạo lứt giữ được lớp vỏ lụa giàu chất xơ (3.4g chất xơ/100g) và vitamin nhóm B, giúp kéo dài thời gian hấp thu glucose, hạ cholesterol và bảo vệ thành mạch máu tốt hơn."
Tiểu đường có uống sữa đặc được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường có uống sữa đặc được không?\n💡 Chuyên gia tư vấn: Không nên. Sữa đặc có đường chứa hàm lượng đường đơn sucrose cực kỳ lớn (9g sữa đặc đã tương đương 1 đơn vị đường chuyển đổi), rất dễ gây mất kiểm soát đường huyết sau khi uống.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên uống sữa đặc vì chứa 9g đường đơn sucrose tương đương 1 đơn vị đường chuyển đổi.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Không nên. Sữa đặc có đường chứa hàm lượng đường đơn sucrose cực kỳ lớn (9g sữa đặc đã tương đương 1 đơn vị đường chuyển đổi), rất dễ gây mất kiểm soát đường huyết sau khi uống."
Cao huyết áp có ăn khô bò được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp có ăn khô bò được không?\n💡 Chuyên gia tư vấn: Nên hạn chế. Khô bò chứa lượng natri từ gia vị ướp và chất bảo quản rất cao, đồng thời chứa purin, người bệnh tăng huyết áp chỉ nên ăn lượng cực nhỏ hoặc tránh dùng thường xuyên.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Khô bò chứa 1200 mg Natri và 250 mg Purin cho 1 Phần ăn.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Nên hạn chế. Khô bò chứa lượng natri từ gia vị ướp và chất bảo quản rất cao, đồng thời chứa purin, người bệnh tăng huyết áp chỉ nên ăn lượng cực nhỏ hoặc tránh dùng thường xuyên."
Bị cả hai bệnh thì có nên giảm cân không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cả hai bệnh thì có nên giảm cân không?\n💡 Chuyên gia tư vấn: Rất nên. Ở người thừa cân, béo phì, việc phối hợp chế độ dinh dưỡng và thay đổi lối sống để giảm ≥ 5% trọng lượng cơ thể sẽ đem lại lợi ích kép cho cả việc kiểm soát đường huyết, lipid máu và hạ huyết áp.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Có nên giảm cân: Rất nên. Giảm ≥ 5% trọng lượng cơ thể sẽ đem lại lợi ích kép cho cả việc kiểm soát đường huyết, lipid máu và hạ huyết áp.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Rất nên. Ở người thừa cân, béo phì, việc phối hợp chế độ dinh dưỡng và thay đổi lối sống để giảm ≥ 5% trọng lượng cơ thể sẽ đem lại lợi ích kép cho cả việc kiểm soát đường huyết, lipid máu và hạ huyết áp."
Tôi bị tiểu đường có ăn thanh long được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tôi bị tiểu đường có ăn thanh long được không?\n💡 Chuyên gia tư vấn: Được. Quả thanh long chứa hàm lượng chất xơ dồi dào (1.8g chất xơ/100g) và lượng đường vừa phải, người bệnh đái tháo đường có thể ăn khoảng 1/4 quả trung bình (~115g) cho mỗi bữa phụ.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Người bệnh đái tháo đường có thể ăn khoảng 1/4 quả trung bình (~115g) cho mỗi bữa phụ.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu: Dinh dưỡng lâm sàng - Bộ Y tế
- Trang: Khẩu ngữ hóa","Được. Quả thanh long chứa hàm lượng chất xơ dồi dào (1.8g chất xơ/100g) và lượng đường vừa phải, người bệnh đái tháo đường có thể ăn khoảng 1/4 quả trung bình (~115g) cho mỗi bữa phụ."
Cao huyết áp ăn mắm cá linh được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp ăn mắm cá linh được không?\n💡 Chuyên gia tư vấn: Không nên. Tất cả các loại mắm đặc, mắm cá linh đều chứa hàm lượng muối natri bão hòa rất cao để lên men, là tác nhân trực tiếp làm tăng huyết áp và tăng gánh nặng suy giảm chức năng thận.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên ăn mắm cá linh vì chứa hàm lượng muối natri bão hòa cao, làm tăng huyết áp và tăng gánh nặng suy giảm chức năng thận.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu: Dinh dưỡng lâm sàng
- Bộ Y tế
- Không có số trang (Khẩu ngữ hóa)","Không nên. Tất cả các loại mắm đặc, mắm cá linh đều chứa hàm lượng muối natri bão hòa rất cao để lên men, là tác nhân trực tiếp làm tăng huyết áp và tăng gánh nặng suy giảm chức năng thận."
Bị tiểu đường có nên ăn yến mạch buổi sáng không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị tiểu đường có nên ăn yến mạch buổi sáng không?\n💡 Chuyên gia tư vấn: Có, rất tốt. Yến mạch cung cấp nguồn glucid phức hợp và giàu chất xơ hòa tan (beta-glucan), có chỉ số đường huyết thấp (GI = 85 nhưng hấp thu từ từ), hỗ trợ kiểm soát đường huyết và hạ mỡ máu tối ưu.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Yến mạch buổi sáng có thể ăn, tốt cho kiểm soát đường huyết và hạ mỡ máu. 

GI: 85
Chất xơ hòa tan (beta-glucan): Có
Nguồn glucid phức hợp: Có

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Có, rất tốt. Yến mạch cung cấp nguồn glucid phức hợp và giàu chất xơ hòa tan (beta-glucan), có chỉ số đường huyết thấp (GI = 85 nhưng hấp thu từ từ), hỗ trợ kiểm soát đường huyết và hạ mỡ máu tối ưu."
Cả tiểu đường lẫn tăng huyết áp thì có cần tập thể dục không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cả tiểu đường lẫn tăng huyết áp thì có cần tập thể dục không?\n💡 Chuyên gia tư vấn: Rất cần thiết. Hoạt động thể lực thông dụng như đi bộ 30 phút mỗi ngày giúp tăng cường hoạt động chuyển hóa insulin, cải thiện dung nạp glucose đồng thời hỗ trợ làm giảm và ổn định chỉ số huyết áp.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Câu trả lời của tôi sẽ tập trung vào thông tin dinh dưỡng liên quan đến tiểu đường và tăng huyết áp.

Không có thông tin cụ thể về chỉ số dinh dưỡng trong dữ liệu được cung cấp. Tuy nhiên, dựa trên thông tin trong đồ thị tri thức, tôi có thể đưa ra thông tin sau:

- Hoạt động thể lực thông dụng như đi bộ 30 phút mỗi ngày giúp tăng cường hoạt động chuyển hóa insulin.
- Cải thiện dung nạp glucose.
- Hỗ trợ làm giảm và ổn định chỉ số huyết áp.

📚 Nguồn trích dẫn y văn gốc:
Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Rất cần thiết. Hoạt động thể lực thông dụng như đi bộ 30 phút mỗi ngày giúp tăng cường hoạt động chuyển hóa insulin, cải thiện dung nạp glucose đồng thời hỗ trợ làm giảm và ổn định chỉ số huyết áp."
Tiểu đường có được ăn bưởi không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường có được ăn bưởi không?\n💡 Chuyên gia tư vấn: Được, rất khuyến khích. Quả bưởi giàu chất xơ (137g múi bưởi tương đương 1 đơn vị chuyển đổi), nhiều vitamin C và có chỉ số đường huyết thấp, hỗ trợ giữ cơ thể no lâu và kiểm soát đường huyết an toàn.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Được, rất khuyến khích. Mỗi 1 phần ăn bưởi chứa:
- Năng lượng: 47 kcal
- Carbohydrate: 11,7g
- Chất đạm: 0,9g
- Natri: 0,2mg
- Kali: 236mg

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Được, rất khuyến khích. Quả bưởi giàu chất xơ (137g múi bưởi tương đương 1 đơn vị chuyển đổi), nhiều vitamin C và có chỉ số đường huyết thấp, hỗ trợ giữ cơ thể no lâu và kiểm soát đường huyết an toàn."
Cao huyết áp có nên ăn thịt kho mặn không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp có nên ăn thịt kho mặn không?\n💡 Chuyên gia tư vấn: Không nên. Thịt kho mặn sử dụng lượng lớn muối, nước mắm, nước tương khi chế biến, chứa lượng natri tích lũy cao, đi kèm mỡ lợn có nhiều acid béo bão hòa sẽ làm tăng huyết áp và xơ vữa mạch máu.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên ăn thịt kho mặn vì nó chứa lượng natri cao (Chưa cập nhật) và mỡ lợn có nhiều acid béo bão hòa.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Không nên. Thịt kho mặn sử dụng lượng lớn muối, nước mắm, nước tương khi chế biến, chứa lượng natri tích lũy cao, đi kèm mỡ lợn có nhiều acid béo bão hòa sẽ làm tăng huyết áp và xơ vữa mạch máu."
