user_input,retrieved_contexts,response,reference,faithfulness
Bánh bao chay chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh bao chay | Nhãn hệ thống: ['Dish']\n - Năng lượng: 33.0 kcal | Carbohydrate (Carb): 7.1 g\n""]",Bánh bao chay chứa 7.1 g carbohydrate.,7.1 g carbohydrate,
Bánh bao nhân thịt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh bao nhân thịt | Nhãn hệ thống: ['Dish']\n - Năng lượng: 409.0 kcal | Carbohydrate (Carb): 47.5 g\n""]",Bánh bao nhân thịt chứa 47.5 g carbohydrate.,88.8 g carbohydrate,100.0
Bánh bột lọc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh bột lọc | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 47.3 g\n""]",Bánh bột lọc chứa 47.3 g carbohydrate.,47.3 g carbohydrate,100.0
Bánh canh cá rô chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh canh cá rô | Nhãn hệ thống: ['Dish']\n - Năng lượng: 167.0 kcal | Carbohydrate (Carb): 15.8 g\n""]",Bánh canh cá rô chứa 15.8 g carbohydrate.,15.8 g carbohydrate,
Bánh canh ghẹ chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Ghẹ | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 54.0 kcal | Carbohydrate (Carb): None g\n""]",Ghẹ chứa Carbohydrate: Chưa cập nhật.,41.7 g carbohydrate,50.0
Bánh chưng cỡ vừa chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh chưng cỡ vừa | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 33.9 g\n""]",Bánh chưng cỡ vừa chứa 33.9 g carbohydrate.,33.9 g carbohydrate,100.0
Bánh cuốn trứng + chả chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh cuốn trứng + chả | Nhãn hệ thống: ['Dish']\n - Năng lượng: 354.0 kcal | Carbohydrate (Carb): 20.0 g\n""]",Bánh cuốn trứng + chả chứa 20 g carbohydrate.,20.0 g carbohydrate,
Bánh đúc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh đúc | Nhãn hệ thống: ['Dish']\n - Năng lượng: 110.0 kcal | Carbohydrate (Carb): 18.9 g\n""]",Bánh đúc chứa 18.9 g carbohydrate.,18.9 g carbohydrate,100.0
Bánh gai chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh gai | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 71.4 g\n""]",Bánh gai chứa 71.4 g carbohydrate.,71.4 g carbohydrate,
Bánh gạo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh gạo | Nhãn hệ thống: ['Dish']\n - Năng lượng: 76.0 kcal | Carbohydrate (Carb): None g\n""]",Bánh gạo chứa Carbohydrate: Chưa cập nhật.,nan g carbohydrate,
Bánh giò chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh giò | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 28.7 g\n""]",Bánh giò chứa 28.7 g carbohydrate.,28.7 g carbohydrate,
Bánh mì - xôi chảo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mì | Nhãn hệ thống: ['Dish']\n - Năng lượng: 249.0 kcal | Carbohydrate (Carb): 52.6 g\n""]",Bánh mì chứa 52.6 g carbohydrate.,66.7 g carbohydrate,100.0
Bánh mỳ kẹp chả chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ kẹp chả | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 34.3 g\n""]",Bánh mỳ kẹp chả chứa 34.3 g carbohydrate.,34.3 g carbohydrate,100.0
BÁNH MỲ KẸP THẬP CẨM chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: BÁNH MỲ KẸP THẬP CẨM | Nhãn hệ thống: ['Dish']\n - Năng lượng: 558.0 kcal | Carbohydrate (Carb): 28.4 g\n""]",BÁNH MỲ KẸP THẬP CẨM chứa 28.4 g carbohydrate.,28.4 g carbohydrate,100.0
Bánh mỳ nướng muối ớt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Muối | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n""]",Muối chứa Carbohydrate: Chưa cập nhật.,20.4 g carbohydrate,50.0
Bánh mỳ ốp la chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ ốp la | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 41.5 g\n""]",Bánh mỳ ốp la chứa 41.5 g carbohydrate.,41.5 g carbohydrate,
Bánh mỳ pate chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ pate | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 37.5 g\n""]",Bánh mỳ pate chứa 37.5 g carbohydrate.,37.5 g carbohydrate,
Bánh mỳ que Hải Phòng chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ que Hải Phòng | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 11.6 g\n""]",Bánh mỳ que Hải Phòng chứa 11.6 g carbohydrate.,11.6 g carbohydrate,100.0
Bánh mỳ ruốc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ ruốc | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 20.4 g\n""]",Bánh mỳ ruốc chứa 20.4 g carbohydrate.,20.4 g carbohydrate,100.0
Bánh mỳ sốt vang chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ sốt vang | Nhãn hệ thống: ['Dish']\n - Năng lượng: 382.0 kcal | Carbohydrate (Carb): 41.6 g\n""]",Bánh mỳ sốt vang chứa 41.6 g carbohydrate.,41.6 g carbohydrate,
Bánh mỳ vuông chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ vuông | Nhãn hệ thống: ['Dish']\n - Năng lượng: 95.0 kcal | Carbohydrate (Carb): 20.0 g\n""]",Bánh mỳ vuông chứa 20 g carbohydrate.,20.0 g carbohydrate,
Bánh nướng thập cẩm chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh nướng thập cẩm | Nhãn hệ thống: ['Dish']\n - Năng lượng: 706.0 kcal | Carbohydrate (Carb): 87.5 g\n""]",Bánh nướng thập cẩm chứa 87.5 g carbohydrate.,87.5 g carbohydrate,
Bánh nướng trứng đậu xanh chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh nướng trứng đậu xanh | Nhãn hệ thống: ['Dish']\n - Năng lượng: 648.0 kcal | Carbohydrate (Carb): None g\n""]",Bánh nướng trứng đậu xanh chứa Carbohydrate: Chưa cập nhật.,nan g carbohydrate,
Bánh rán đường chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh rán đường | Nhãn hệ thống: ['Dish']\n - Năng lượng: 252.0 kcal | Carbohydrate (Carb): 36.7 g\n""]",Bánh rán đường chứa 36.7 g carbohydrate.,36.7 g carbohydrate,100.0
Súp nấm gà chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Nấm | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n""]",Nấm chứa Carbohydrate: Chưa cập nhật.,6.2 g carbohydrate,
Súp ngô cua chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Súp ngô cua | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 18.8 g\n""]",Súp ngô cua chứa 18.8 g carbohydrate.,18.8 g carbohydrate,100.0
Sushi phô mai chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sushi phô mai | Nhãn hệ thống: ['Dish']\n - Năng lượng: 42.0 kcal | Carbohydrate (Carb): 5.6 g\n""]",Sushi phô mai chứa 5.6 g carbohydrate.,5.6 g carbohydrate,100.0
Sushi thập cẩm chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sushi thập cẩm | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 8.2 g\n""]",Sushi thập cẩm chứa 8.2 g carbohydrate.,8.2 g carbohydrate,
Tào phớ truyền thống chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Tào phớ truyền thống | Nhãn hệ thống: ['Dish']\n - Năng lượng: 83.8 kcal | Carbohydrate (Carb): 15.8 g\n""]",Tào phớ truyền thống chứa 15.8 g carbohydrate.,15.8 g carbohydrate,
Thịt bò xào đậu cove chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Thịt bò xào đậu cove | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 162.0 kcal | Carbohydrate (Carb): 13.3 g\n""]",Thịt bò xào đậu cove chứa 13.3 g carbohydrate.,13.3 g carbohydrate,100.0
"Thịt bò xào hành tây, cà chua chứa bao nhiêu carbohydrate?","[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Cà chua | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 20.0 kcal | Carbohydrate (Carb): 4.0 g\n""]",Cà chua chứa 4 g carbohydrate.,14.8 g carbohydrate,
Thịt bò xào hoa thiên lý chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Thịt bò xào hoa thiên lý | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 270.0 kcal | Carbohydrate (Carb): 9.5 g\n""]",Thịt bò xào hoa thiên lý chứa 9.5 g carbohydrate.,9.5 g carbohydrate,
Thịt bò xào lúc lắc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Thịt bò xào lúc lắc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 469.0 kcal | Carbohydrate (Carb): 28.7 g\n""]",Thịt bò xào lúc lắc chứa 28.7 g carbohydrate.,28.7 g carbohydrate,
Thịt bò xào nấm chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Nấm | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n""]",Nấm chứa Carbohydrate: Chưa cập nhật.,3.9 g carbohydrate,
Thịt bò xào su su chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Thịt bò xào su su | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): 4.2 g\n""]",Thịt bò xào su su chứa 4.2 g carbohydrate.,4.2 g carbohydrate,
Thịt trâu xào rau muống chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Rau muống | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 25.0 kcal | Carbohydrate (Carb): 2.1 g\n""]",Rau muống chứa 2.1 g carbohydrate.,2.1 g carbohydrate,50.0
