user_input,retrieved_contexts,response,reference,faithfulness
Bị cả tiểu đường lẫn tăng huyết áp thì ăn phở được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cả tiểu đường lẫn tăng huyết áp thì ăn phở được không?\n💡 Chuyên gia tư vấn: Được, nhưng cần khẩu phần phù hợp. Một bát phở bình dân có lượng carbohydrate từ bánh phở (~1.8 lạng) và natri từ nước dùng khá cao, người mắc cả hai bệnh nên ăn lượng bánh vừa phải và không nên húp nhiều nước dùng.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Một bát phở có khoảng 1.8 lạng bánh phở, lượng carbohydrate và natri từ nước dùng khá cao. 
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Được, nhưng cần khẩu phần phù hợp. Một bát phở bình dân có lượng carbohydrate từ bánh phở (~1.8 lạng) và natri từ nước dùng khá cao, người mắc cả hai bệnh nên ăn lượng bánh vừa phải và không nên húp nhiều nước dùng.",100.0
"Mẹ tôi bị tiểu đường, tối ăn sầu riêng có được không?","['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Mẹ tôi bị tiểu đường, tối ăn sầu riêng có được không?\n💡 Chuyên gia tư vấn: Cần hạn chế nghiêm ngặt. Sầu riêng có hàm lượng carbohydrate và năng lượng cao, ăn vào buổi tối dễ gây tích lũy mỡ bụng và làm mất kiểm soát glucose huyết tương lúc đói sáng hôm sau.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Sầu riêng có 63,4g Glucid và 147 kcal trong 100g nguyên liệu thô. 
📚 Nguồn trích dẫn y văn gốc: Dinh dưỡng lâm sàng - Bộ Y tế, trang 123","Cần hạn chế nghiêm ngặt. Sầu riêng có hàm lượng carbohydrate và năng lượng cao, ăn vào buổi tối dễ gây tích lũy mỡ bụng và làm mất kiểm soát glucose huyết tương lúc đói sáng hôm sau.",
Cao huyết áp mà uống nước mắm chan cơm có ổn không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp mà uống nước mắm chan cơm có ổn không?\n💡 Chuyên gia tư vấn: Không nên. Nước mắm chứa nồng độ natri cực kỳ cao (xấp xỉ 7720 mg/100g). Thói quen chan nước mắm mặn vào cơm sẽ làm tăng áp lực lên thành mạch, khiến huyết áp khó kiểm soát.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Natri trong nước mắm: 7720 mg/100g.
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Không nên. Nước mắm chứa nồng độ natri cực kỳ cao (xấp xỉ 7720 mg/100g). Thói quen chan nước mắm mặn vào cơm sẽ làm tăng áp lực lên thành mạch, khiến huyết áp khó kiểm soát.",
"Em bị đường huyết cao, có cần bỏ hẳn cơm không?","['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Em bị đường huyết cao, có cần bỏ hẳn cơm không?\n💡 Chuyên gia tư vấn: Không. Loại bỏ hoàn toàn tinh bột là một sai lầm. Người bệnh đái tháo đường vẫn cần cung cấp đủ nhu cầu carbohydrate (chiếm 55-65% tổng năng lượng) nhưng nên ưu tiên loại carbohydrate hấp thu chậm.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Carbohydrate nên chiếm 55-65% tổng năng lượng.
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế",Không. Loại bỏ hoàn toàn tinh bột là một sai lầm. Người bệnh đái tháo đường vẫn cần cung cấp đủ nhu cầu carbohydrate (chiếm 55-65% tổng năng lượng) nhưng nên ưu tiên loại carbohydrate hấp thu chậm.,
Bị tiểu đường ăn khoai lang thay cơm được không?,"[""🚨 ĐỒ THỊ TRỐNG: Hệ thống chưa cập nhật dữ liệu cho thực phẩm 'Tiểu đường' 🚨""]","Chưa cập nhật 

📚 Nguồn trích dẫn y văn gốc: source_document = 'Dữ liệu dinh dưỡng', source_page = 'Trang 1'","Được. Khoai lang là nguồn cung cấp carbohydrate tốt, giàu chất xơ với chỉ số đường huyết (GI = 54) thấp hơn cơm trắng. Theo đơn vị chuyển đổi thực phẩm, 76g khoai lang tương đương 1 đơn vị tinh bột.",
"Ông xã tôi bị tăng huyết áp, ăn mì gói khuya được không?","['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Ông xã tôi bị tăng huyết áp, ăn mì gói khuya được không?\n💡 Chuyên gia tư vấn: Không nên. Mì ăn liền chứa lượng muối natri trong gói gia vị rất cao, đồng thời giàu acid béo bão hòa từ mỡ chiên, ăn vào ban đêm khi chuyển hóa cơ bản giảm dễ gây tăng huyết áp cấp và béo phì.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Mì gói chứa 350 kcal, 12g chất béo, 45g glucid, 7g chất đạm, 900mg natri, 200mg kali trong 1 phần ăn.
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế, trang 120","Không nên. Mì ăn liền chứa lượng muối natri trong gói gia vị rất cao, đồng thời giàu acid béo bão hòa từ mỡ chiên, ăn vào ban đêm khi chuyển hóa cơ bản giảm dễ gây tăng huyết áp cấp và béo phì.",
"Tôi bị cả hai bệnh, sáng ăn bún bò được không?","[""🚨 ĐỒ THỊ TRỐNG: Hệ thống chưa cập nhật dữ liệu cho thực phẩm 'Tôi bị cả hai bệnh, sáng' 🚨""]","Chưa cập nhật.

📚 Nguồn trích dẫn y văn gốc: 
- Tên tài liệu: Chưa cập nhật
- Số trang: Chưa cập nhật","Được, nếu kiểm soát tốt khẩu phần. Cần cân đối lượng bún ăn vào (1 đơn vị bún tương đương 78g) và hạn chế húp nước dùng mặn giàu chất béo bão hòa để đồng thời kiểm soát cả đường huyết và huyết áp.",50.0
Tiểu đường có ăn chuối được không bác?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường có ăn chuối được không bác?\n💡 Chuyên gia tư vấn: Được, nhưng cần ăn khẩu phần phù hợp (chuối tiêu chín chỉ nên ăn 1/2 quả khoảng 45g cho một lần). Chuối chứa lượng carbohydrate tự nhiên tốt nhưng nếu ăn quá nhiều một lúc vẫn làm tăng đường huyết.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Chuối chứa 27g Glucid/100g. 
Chuối có chỉ số đường huyết (GI) là 51.
Một quả chuối tiêu trung bình (khoảng 100g) chứa khoảng 105 calo, 0,3g chất béo, 14,4g đường, 1,3g chất xơ, 1,3g protein, 1mg Natri, 422mg Kali.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Được, nhưng cần ăn khẩu phần phù hợp (chuối tiêu chín chỉ nên ăn 1/2 quả khoảng 45g cho một lần). Chuối chứa lượng carbohydrate tự nhiên tốt nhưng nếu ăn quá nhiều một lúc vẫn làm tăng đường huyết.",0.0
Bị cao huyết áp có cần bỏ nước tương không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cao huyết áp có cần bỏ nước tương không?\n💡 Chuyên gia tư vấn: Không bắt buộc phải bỏ hẳn nhưng cần hạn chế nghiêm ngặt. Nước tương (xì dầu) chứa hàm lượng natri cao (~5637 mg/100g), khi chế biến hoặc chấm chỉ nên dùng một lượng rất nhỏ để đảm bảo nguyên tắc ăn nhạt.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Natri trong nước tương: 5637 mg/100g.
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Không bắt buộc phải bỏ hẳn nhưng cần hạn chế nghiêm ngặt. Nước tương (xì dầu) chứa hàm lượng natri cao (~5637 mg/100g), khi chế biến hoặc chấm chỉ nên dùng một lượng rất nhỏ để đảm bảo nguyên tắc ăn nhạt.",100.0
Em bị đường huyết cao mà thích bánh ngọt lắm thì sao?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Em bị đường huyết cao mà thích bánh ngọt lắm thì sao?\n💡 Chuyên gia tư vấn: Cần hạn chế tối đa. Bánh kẹo ngọt chứa lượng đường sucrose tinh luyện lớn, hấp thu rất nhanh vào máu, dễ gây đột biến nồng độ glucose và làm gia tăng các yếu tố nguy cơ như rối loạn mỡ máu.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không có thông tin cụ thể về chỉ số dinh dưỡng của bánh ngọt trong dữ liệu được cung cấp. 

📚 Nguồn trích dẫn y văn gốc: 
- Tên tài liệu: Dinh dưỡng lâm sàng - Bộ Y tế 
- Số trang: Chưa cập nhật","Cần hạn chế tối đa. Bánh kẹo ngọt chứa lượng đường sucrose tinh luyện lớn, hấp thu rất nhanh vào máu, dễ gây đột biến nồng độ glucose và làm gia tăng các yếu tố nguy cơ như rối loạn mỡ máu.",75.0
