question,contexts,answer,ground_truth
Bánh bao chay chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh bao chay | Nhãn hệ thống: ['Dish']\n - Năng lượng: 33.0 kcal | Carbohydrate (Carb): 7.1 g\n - Chất đạm (Protein): 0.9 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh bao chay chứa 7.1 g carbohydrate.,7.1 g carbohydrate
Bánh bao nhân thịt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh bao nhân thịt | Nhãn hệ thống: ['Dish']\n - Năng lượng: 409.0 kcal | Carbohydrate (Carb): 47.5 g\n - Chất đạm (Protein): 11.4 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh bao nhân thịt chứa 47.5 g carbohydrate.,88.8 g carbohydrate
Bánh bột lọc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh bột lọc | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 47.3 g\n - Chất đạm (Protein): 14.9 g | Natri: 206.6 mg | Kali: 183.2 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh bột lọc chứa 47.3 g carbohydrate.,47.3 g carbohydrate
Bánh canh cá rô chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh canh cá rô | Nhãn hệ thống: ['Dish']\n - Năng lượng: 167.0 kcal | Carbohydrate (Carb): 15.8 g\n - Chất đạm (Protein): 14.9 g | Natri: 591.0 mg | Kali: 72.4 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh canh cá rô chứa 15.8 g carbohydrate.,15.8 g carbohydrate
Bánh canh ghẹ chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Ghẹ | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 54.0 kcal | Carbohydrate (Carb): None g\n - Chất đạm (Protein): 11.9 g | Natri: 293.0 mg | Kali: 329.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Ghẹ chứa Carbohydrate: Chưa cập nhật.,41.7 g carbohydrate
Bánh chưng cỡ vừa chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh chưng cỡ vừa | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 33.9 g\n - Chất đạm (Protein): 4.7 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh chưng cỡ vừa chứa 33.9 g carbohydrate.,33.9 g carbohydrate
Bánh cuốn trứng + chả chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh cuốn trứng + chả | Nhãn hệ thống: ['Dish']\n - Năng lượng: 354.0 kcal | Carbohydrate (Carb): 20.0 g\n - Chất đạm (Protein): None g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh cuốn trứng + chả chứa 20 g carbohydrate.,20.0 g carbohydrate
Bánh đúc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh đúc | Nhãn hệ thống: ['Dish']\n - Năng lượng: 110.0 kcal | Carbohydrate (Carb): 18.9 g\n - Chất đạm (Protein): 2.7 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh đúc chứa 18.9 g carbohydrate.,18.9 g carbohydrate
Bánh gai chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh gai | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 71.4 g\n - Chất đạm (Protein): 9.3 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh gai chứa 71.4 g carbohydrate.,71.4 g carbohydrate
Bánh gạo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh gạo | Nhãn hệ thống: ['Dish']\n - Năng lượng: 76.0 kcal | Carbohydrate (Carb): None g\n - Chất đạm (Protein): 0.0 g | Natri: 389.6 mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh gạo chứa Carbohydrate: Chưa cập nhật.,nan g carbohydrate
