user_input,retrieved_contexts,response,reference,faithfulness
Gạo nếp cái chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Gạo nếp cái | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 344.0 kcal | Carbohydrate (Carb): 74.5 g\n""]",Gạo nếp cái chứa 74.5 g carbohydrate.,74.5 g carbohydrate,
Gạo nếp máy chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Gạo nếp máy | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 346.0 kcal | Carbohydrate (Carb): 74.9 g\n""]",Gạo nếp máy chứa 74.9 g carbohydrate.,74.9 g carbohydrate,
Gạo tẻ giã chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Gạo tẻ giã | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 344.0 kcal | Carbohydrate (Carb): 75.0 g\n""]",Gạo tẻ giã chứa 75 g carbohydrate.,75 g carbohydrate,
Gạo tẻ máy chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Gạo tẻ máy | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 344.0 kcal | Carbohydrate (Carb): 75.9 g\n""]",Gạo tẻ máy chứa 75.9 g carbohydrate.,75.9 g carbohydrate,
Gạo lứt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Gạo lứt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 345.0 kcal | Carbohydrate (Carb): 72.8 g\n""]",Gạo lứt chứa 72.8 g carbohydrate.,72.8 g carbohydrate,
Kê chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Kê | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 331.0 kcal | Carbohydrate (Carb): 69.0 g\n""]",Kê chứa 69 g carbohydrate.,69 g carbohydrate,
Ngô bắp tươi chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Ngô bắp tươi | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 196.0 kcal | Carbohydrate (Carb): 39.6 g\n""]",Ngô bắp tươi chứa 39.6 g carbohydrate.,39.6 g carbohydrate,100.0
Ngô vàng hạt khô chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Ngô vàng hạt khô | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 354.0 kcal | Carbohydrate (Carb): 69.4 g\n""]",Ngô vàng hạt khô chứa 69.4 g carbohydrate.,69.4 g carbohydrate,
Bánh bao nhân thịt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh bao nhân thịt | Nhãn hệ thống: ['Dish']\n - Năng lượng: 409.0 kcal | Carbohydrate (Carb): 47.5 g\n""]",Bánh bao nhân thịt chứa 47.5 g carbohydrate.,47.5 g carbohydrate,100.0
Bánh đa nem chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh đa nem | Nhãn hệ thống: ['Dish']\n - Năng lượng: 333.0 kcal | Carbohydrate (Carb): 78.9 g\n""]",Bánh đa nem chứa 78.9 g carbohydrate.,78.9 g carbohydrate,
Bánh đút chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh đút | Nhãn hệ thống: ['Dish']\n - Năng lượng: 52.0 kcal | Carbohydrate (Carb): 11.3 g\n""]",Bánh đút chứa 11.3 g carbohydrate.,11.3 g carbohydrate,
Bánh mì chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mì | Nhãn hệ thống: ['Dish']\n - Năng lượng: 249.0 kcal | Carbohydrate (Carb): 52.6 g\n""]",Bánh mì chứa 52.6 g carbohydrate.,52.6 g carbohydrate,
Bánh phở chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh phở | Nhãn hệ thống: ['Dish']\n - Năng lượng: 143.0 kcal | Carbohydrate (Carb): 31.7 g\n""]",Bánh phở chứa 31.7 g carbohydrate.,31.7 g carbohydrate,
Bánh quẩy chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh quẩy | Nhãn hệ thống: ['Dish']\n - Năng lượng: 292.0 kcal | Carbohydrate (Carb): 40.7 g\n""]",Bánh quẩy chứa 40.7 g carbohydrate.,40.7 g carbohydrate,100.0
Bổng ngô chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bổng ngô | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 372.0 kcal | Carbohydrate (Carb): 80.8 g\n""]",Bổng ngô chứa 80.8 g carbohydrate.,80.8 g carbohydrate,
Bột gạo nếp chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bột gạo nếp | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 362.0 kcal | Carbohydrate (Carb): 78.8 g\n""]",Bột gạo nếp chứa 78.8 g carbohydrate.,78.8 g carbohydrate,100.0
